ppv_region|master_postcode_1|lat_1|lon_1|master_postcode_2|lat_2|lon_2|time_sec
Selangor/KL/Putrajaya|40000|3.069037|101.523418|41000|3.04174|101.44928|853
Selangor/KL/Putrajaya|40000|3.069037|101.523418|42000|2.999783|101.393592|1466
Selangor/KL/Putrajaya|40000|3.069037|101.523418|42200|3.13694|101.374542|1605
Selangor/KL/Putrajaya|40000|3.069037|101.523418|42300|3.071723|101.454247|1512
Selangor/KL/Putrajaya|40000|3.069037|101.523418|42500|2.910571|101.468592|2112
Selangor/KL/Putrajaya|40000|3.069037|101.523418|42600|2.87567778|101.49953858|2111
Selangor/KL/Putrajaya|40000|3.069037|101.523418|42700|2.811255|101.499568|2952
Selangor/KL/Putrajaya|40000|3.069037|101.523418|42800|2.662653|101.557797|4867
Selangor/KL/Putrajaya|40000|3.069037|101.523418|42920|2.93707|101.325659|2274
Selangor/KL/Putrajaya|40000|3.069037|101.523418|42940|3.020418|101.253784|inf
Selangor/KL/Putrajaya|40000|3.069037|101.523418|42960|2.85004716|101.37569652|2713
Selangor/KL/Putrajaya|40000|3.069037|101.523418|43000|2.99319|101.787|2330
Selangor/KL/Putrajaya|40000|3.069037|101.523418|43100|3.10037869|101.80299706|2355
Selangor/KL/Putrajaya|40000|3.069037|101.523418|43200|3.048914445|101.7688979|2038
Selangor/KL/Putrajaya|40000|3.069037|101.523418|43300|3.0221|101.70547|1960
Selangor/KL/Putrajaya|40000|3.069037|101.523418|43400|2.99259052499155|101.7048806187|2011
Selangor/KL/Putrajaya|40000|3.069037|101.523418|43500|2.947598|101.844711|2900
Selangor/KL/Putrajaya|40000|3.069037|101.523418|43600|2.94331538|101.76357543|2355
Selangor/KL/Putrajaya|40000|3.069037|101.523418|43700|2.86881012|101.86989746|3383
Selangor/KL/Putrajaya|40000|3.069037|101.523418|43900|2.690242|101.751039|4869
Selangor/KL/Putrajaya|40000|3.069037|101.523418|43950|2.643865|101.718497|5365
Selangor/KL/Putrajaya|40000|3.069037|101.523418|44000|3.562871|101.658865|4268
Selangor/KL/Putrajaya|40000|3.069037|101.523418|44200|3.496655|101.633051|3597
Selangor/KL/Putrajaya|40000|3.069037|101.523418|44300|3.4638771|101.65633089|3948
Selangor/KL/Putrajaya|40000|3.069037|101.523418|45000|3.342043|101.248981|3467
Selangor/KL/Putrajaya|40000|3.069037|101.523418|45100|3.842558|100.895663|7718
Selangor/KL/Putrajaya|40000|3.069037|101.523418|45200|3.769493|100.983632|6943
Selangor/KL/Putrajaya|40000|3.069037|101.523418|45300|3.676208|100.986402|6226
Selangor/KL/Putrajaya|40000|3.069037|101.523418|45400|3.508705|101.103137|5131
Selangor/KL/Putrajaya|40000|3.069037|101.523418|45500|3.426269|101.176976|4408
Selangor/KL/Putrajaya|40000|3.069037|101.523418|45600|3.379264|101.409819|3016
Selangor/KL/Putrajaya|40000|3.069037|101.523418|45700|3.309783|101.316481|2996
Selangor/KL/Putrajaya|40000|3.069037|101.523418|45800|3.26099|101.304808|2751
Selangor/KL/Putrajaya|40000|3.069037|101.523418|46000|3.086439|101.649091|955
Selangor/KL/Putrajaya|40000|3.069037|101.523418|46150|3.072257555|101.62387631|1336
Selangor/KL/Putrajaya|40000|3.069037|101.523418|46300|3.110464412|101.6263315|1110
Selangor/KL/Putrajaya|40000|3.069037|101.523418|47000|3.209228|101.563796|1538
Selangor/KL/Putrajaya|40000|3.069037|101.523418|47100|3.00725|101.60488|1274
Selangor/KL/Putrajaya|40000|3.069037|101.523418|47200|3.05807611|101.59866162|842
Selangor/KL/Putrajaya|40000|3.069037|101.523418|48000|3.320579|101.575825|2194
Selangor/KL/Putrajaya|40000|3.069037|101.523418|48100|3.318829|101.472824|2552
Selangor/KL/Putrajaya|40000|3.069037|101.523418|48200|3.36499321|101.60397874|2890
Selangor/KL/Putrajaya|40000|3.069037|101.523418|50000|3.143717|101.694244|1313
Selangor/KL/Putrajaya|40000|3.069037|101.523418|53100|3.26023787|101.7333987|2443
Selangor/KL/Putrajaya|40000|3.069037|101.523418|62000|2.93723|101.69482|2077
Selangor/KL/Putrajaya|40000|3.069037|101.523418|63000|2.858811|101.677911|2020
Selangor/KL/Putrajaya|40000|3.069037|101.523418|64000|2.75421|101.70507|2249
Selangor/KL/Putrajaya|40000|3.069037|101.523418|68000|3.14687|101.76269|1959
Selangor/KL/Putrajaya|40000|3.069037|101.523418|68100|3.236517|101.673419|2096
Selangor/KL/Putrajaya|41000|3.04174|101.44928|42000|2.999783|101.393592|961
Selangor/KL/Putrajaya|41000|3.04174|101.44928|42200|3.13694|101.374542|1494
Selangor/KL/Putrajaya|41000|3.04174|101.44928|42300|3.071723|101.454247|1174
Selangor/KL/Putrajaya|41000|3.04174|101.44928|42500|2.910571|101.468592|1996
Selangor/KL/Putrajaya|41000|3.04174|101.44928|42600|2.87567778|101.49953858|2470
Selangor/KL/Putrajaya|41000|3.04174|101.44928|42700|2.811255|101.499568|3176
Selangor/KL/Putrajaya|41000|3.04174|101.44928|42800|2.662653|101.557797|4787
Selangor/KL/Putrajaya|41000|3.04174|101.44928|42920|2.93707|101.325659|1880
Selangor/KL/Putrajaya|41000|3.04174|101.44928|42940|3.020418|101.253784|inf
Selangor/KL/Putrajaya|41000|3.04174|101.44928|42960|2.85004716|101.37569652|2806
Selangor/KL/Putrajaya|41000|3.04174|101.44928|43000|2.99319|101.787|3103
Selangor/KL/Putrajaya|41000|3.04174|101.44928|43100|3.10037869|101.80299706|3128
Selangor/KL/Putrajaya|41000|3.04174|101.44928|43200|3.048914445|101.7688979|2811
Selangor/KL/Putrajaya|41000|3.04174|101.44928|43300|3.0221|101.70547|2732
Selangor/KL/Putrajaya|41000|3.04174|101.44928|43400|2.99259052499155|101.7048806187|2784
Selangor/KL/Putrajaya|41000|3.04174|101.44928|43500|2.947598|101.844711|3673
Selangor/KL/Putrajaya|41000|3.04174|101.44928|43600|2.94331538|101.76357543|3128
Selangor/KL/Putrajaya|41000|3.04174|101.44928|43700|2.86881012|101.86989746|4156
Selangor/KL/Putrajaya|41000|3.04174|101.44928|43900|2.690242|101.751039|5641
Selangor/KL/Putrajaya|41000|3.04174|101.44928|43950|2.643865|101.718497|5905
Selangor/KL/Putrajaya|41000|3.04174|101.44928|44000|3.562871|101.658865|4950
Selangor/KL/Putrajaya|41000|3.04174|101.44928|44200|3.496655|101.633051|4279
Selangor/KL/Putrajaya|41000|3.04174|101.44928|44300|3.4638771|101.65633089|4630
Selangor/KL/Putrajaya|41000|3.04174|101.44928|45000|3.342043|101.248981|3382
Selangor/KL/Putrajaya|41000|3.04174|101.44928|45100|3.842558|100.895663|7634
Selangor/KL/Putrajaya|41000|3.04174|101.44928|45200|3.769493|100.983632|6859
Selangor/KL/Putrajaya|41000|3.04174|101.44928|45300|3.676208|100.986402|6141
Selangor/KL/Putrajaya|41000|3.04174|101.44928|45400|3.508705|101.103137|5047
Selangor/KL/Putrajaya|41000|3.04174|101.44928|45500|3.426269|101.176976|4324
Selangor/KL/Putrajaya|41000|3.04174|101.44928|45600|3.379264|101.409819|3667
Selangor/KL/Putrajaya|41000|3.04174|101.44928|45700|3.309783|101.316481|3084
Selangor/KL/Putrajaya|41000|3.04174|101.44928|45800|3.26099|101.304808|2641
Selangor/KL/Putrajaya|41000|3.04174|101.44928|46000|3.086439|101.649091|1728
Selangor/KL/Putrajaya|41000|3.04174|101.44928|46150|3.072257555|101.62387631|2109
Selangor/KL/Putrajaya|41000|3.04174|101.44928|46300|3.110464412|101.6263315|1883
Selangor/KL/Putrajaya|41000|3.04174|101.44928|47000|3.209228|101.563796|2220
Selangor/KL/Putrajaya|41000|3.04174|101.44928|47100|3.00725|101.60488|2047
Selangor/KL/Putrajaya|41000|3.04174|101.44928|47200|3.05807611|101.59866162|1615
Selangor/KL/Putrajaya|41000|3.04174|101.44928|48000|3.320579|101.575825|2876
Selangor/KL/Putrajaya|41000|3.04174|101.44928|48100|3.318829|101.472824|3202
Selangor/KL/Putrajaya|41000|3.04174|101.44928|48200|3.36499321|101.60397874|3572
Selangor/KL/Putrajaya|41000|3.04174|101.44928|50000|3.143717|101.694244|2086
Selangor/KL/Putrajaya|41000|3.04174|101.44928|53100|3.26023787|101.7333987|3125
Selangor/KL/Putrajaya|41000|3.04174|101.44928|62000|2.93723|101.69482|2850
Selangor/KL/Putrajaya|41000|3.04174|101.44928|63000|2.858811|101.677911|2792
Selangor/KL/Putrajaya|41000|3.04174|101.44928|64000|2.75421|101.70507|3022
Selangor/KL/Putrajaya|41000|3.04174|101.44928|68000|3.14687|101.76269|2732
Selangor/KL/Putrajaya|41000|3.04174|101.44928|68100|3.236517|101.673419|2778
Selangor/KL/Putrajaya|42000|2.999783|101.393592|42200|3.13694|101.374542|2011
Selangor/KL/Putrajaya|42000|2.999783|101.393592|42300|3.071723|101.454247|1263
Selangor/KL/Putrajaya|42000|2.999783|101.393592|42500|2.910571|101.468592|1761
Selangor/KL/Putrajaya|42000|2.999783|101.393592|42600|2.87567778|101.49953858|2236
Selangor/KL/Putrajaya|42000|2.999783|101.393592|42700|2.811255|101.499568|2942
Selangor/KL/Putrajaya|42000|2.999783|101.393592|42800|2.662653|101.557797|4553
Selangor/KL/Putrajaya|42000|2.999783|101.393592|42920|2.93707|101.325659|1291
Selangor/KL/Putrajaya|42000|2.999783|101.393592|42940|3.020418|101.253784|inf
Selangor/KL/Putrajaya|42000|2.999783|101.393592|42960|2.85004716|101.37569652|2572
Selangor/KL/Putrajaya|42000|2.999783|101.393592|43000|2.99319|101.787|3411
Selangor/KL/Putrajaya|42000|2.999783|101.393592|43100|3.10037869|101.80299706|3645
Selangor/KL/Putrajaya|42000|2.999783|101.393592|43200|3.048914445|101.7688979|3328
Selangor/KL/Putrajaya|42000|2.999783|101.393592|43300|3.0221|101.70547|3016
Selangor/KL/Putrajaya|42000|2.999783|101.393592|43400|2.99259052499155|101.7048806187|2920
Selangor/KL/Putrajaya|42000|2.999783|101.393592|43500|2.947598|101.844711|3963
Selangor/KL/Putrajaya|42000|2.999783|101.393592|43600|2.94331538|101.76357543|3419
Selangor/KL/Putrajaya|42000|2.999783|101.393592|43700|2.86881012|101.86989746|4494
Selangor/KL/Putrajaya|42000|2.999783|101.393592|43900|2.690242|101.751039|6158
Selangor/KL/Putrajaya|42000|2.999783|101.393592|43950|2.643865|101.718497|5670
Selangor/KL/Putrajaya|42000|2.999783|101.393592|44000|3.562871|101.658865|5467
Selangor/KL/Putrajaya|42000|2.999783|101.393592|44200|3.496655|101.633051|4796
Selangor/KL/Putrajaya|42000|2.999783|101.393592|44300|3.4638771|101.65633089|5147
Selangor/KL/Putrajaya|42000|2.999783|101.393592|45000|3.342043|101.248981|3899
Selangor/KL/Putrajaya|42000|2.999783|101.393592|45100|3.842558|100.895663|8150
Selangor/KL/Putrajaya|42000|2.999783|101.393592|45200|3.769493|100.983632|7376
Selangor/KL/Putrajaya|42000|2.999783|101.393592|45300|3.676208|100.986402|6658
Selangor/KL/Putrajaya|42000|2.999783|101.393592|45400|3.508705|101.103137|5563
Selangor/KL/Putrajaya|42000|2.999783|101.393592|45500|3.426269|101.176976|4840
Selangor/KL/Putrajaya|42000|2.999783|101.393592|45600|3.379264|101.409819|4175
Selangor/KL/Putrajaya|42000|2.999783|101.393592|45700|3.309783|101.316481|3601
Selangor/KL/Putrajaya|42000|2.999783|101.393592|45800|3.26099|101.304808|3157
Selangor/KL/Putrajaya|42000|2.999783|101.393592|46000|3.086439|101.649091|2244
Selangor/KL/Putrajaya|42000|2.999783|101.393592|46150|3.072257555|101.62387631|2358
Selangor/KL/Putrajaya|42000|2.999783|101.393592|46300|3.110464412|101.6263315|2399
Selangor/KL/Putrajaya|42000|2.999783|101.393592|47000|3.209228|101.563796|2737
Selangor/KL/Putrajaya|42000|2.999783|101.393592|47100|3.00725|101.60488|2183
Selangor/KL/Putrajaya|42000|2.999783|101.393592|47200|3.05807611|101.59866162|1980
Selangor/KL/Putrajaya|42000|2.999783|101.393592|48000|3.320579|101.575825|3393
Selangor/KL/Putrajaya|42000|2.999783|101.393592|48100|3.318829|101.472824|3719
Selangor/KL/Putrajaya|42000|2.999783|101.393592|48200|3.36499321|101.60397874|4089
Selangor/KL/Putrajaya|42000|2.999783|101.393592|50000|3.143717|101.694244|2603
Selangor/KL/Putrajaya|42000|2.999783|101.393592|53100|3.26023787|101.7333987|3642
Selangor/KL/Putrajaya|42000|2.999783|101.393592|62000|2.93723|101.69482|2986
Selangor/KL/Putrajaya|42000|2.999783|101.393592|63000|2.858811|101.677911|3131
Selangor/KL/Putrajaya|42000|2.999783|101.393592|64000|2.75421|101.70507|3361
Selangor/KL/Putrajaya|42000|2.999783|101.393592|68000|3.14687|101.76269|3249
Selangor/KL/Putrajaya|42000|2.999783|101.393592|68100|3.236517|101.673419|3295
Selangor/KL/Putrajaya|42200|3.13694|101.374542|42300|3.071723|101.454247|1060
Selangor/KL/Putrajaya|42200|3.13694|101.374542|42500|2.910571|101.468592|3175
Selangor/KL/Putrajaya|42200|3.13694|101.374542|42600|2.87567778|101.49953858|3650
Selangor/KL/Putrajaya|42200|3.13694|101.374542|42700|2.811255|101.499568|4137
Selangor/KL/Putrajaya|42200|3.13694|101.374542|42800|2.662653|101.557797|5967
Selangor/KL/Putrajaya|42200|3.13694|101.374542|42920|2.93707|101.325659|2996
Selangor/KL/Putrajaya|42200|3.13694|101.374542|42940|3.020418|101.253784|inf
Selangor/KL/Putrajaya|42200|3.13694|101.374542|42960|2.85004716|101.37569652|3986
Selangor/KL/Putrajaya|42200|3.13694|101.374542|43000|2.99319|101.787|3812
Selangor/KL/Putrajaya|42200|3.13694|101.374542|43100|3.10037869|101.80299706|3837
Selangor/KL/Putrajaya|42200|3.13694|101.374542|43200|3.048914445|101.7688979|3520
Selangor/KL/Putrajaya|42200|3.13694|101.374542|43300|3.0221|101.70547|3442
Selangor/KL/Putrajaya|42200|3.13694|101.374542|43400|2.99259052499155|101.7048806187|3456
Selangor/KL/Putrajaya|42200|3.13694|101.374542|43500|2.947598|101.844711|4382
Selangor/KL/Putrajaya|42200|3.13694|101.374542|43600|2.94331538|101.76357543|3837
Selangor/KL/Putrajaya|42200|3.13694|101.374542|43700|2.86881012|101.86989746|4757
Selangor/KL/Putrajaya|42200|3.13694|101.374542|43900|2.690242|101.751039|6243
Selangor/KL/Putrajaya|42200|3.13694|101.374542|43950|2.643865|101.718497|6740
Selangor/KL/Putrajaya|42200|3.13694|101.374542|44000|3.562871|101.658865|5194
Selangor/KL/Putrajaya|42200|3.13694|101.374542|44200|3.496655|101.633051|4600
Selangor/KL/Putrajaya|42200|3.13694|101.374542|44300|3.4638771|101.65633089|4684
Selangor/KL/Putrajaya|42200|3.13694|101.374542|45000|3.342043|101.248981|1888
Selangor/KL/Putrajaya|42200|3.13694|101.374542|45100|3.842558|100.895663|6139
Selangor/KL/Putrajaya|42200|3.13694|101.374542|45200|3.769493|100.983632|5364
Selangor/KL/Putrajaya|42200|3.13694|101.374542|45300|3.676208|100.986402|4647
Selangor/KL/Putrajaya|42200|3.13694|101.374542|45400|3.508705|101.103137|3552
Selangor/KL/Putrajaya|42200|3.13694|101.374542|45500|3.426269|101.176976|2829
Selangor/KL/Putrajaya|42200|3.13694|101.374542|45600|3.379264|101.409819|2431
Selangor/KL/Putrajaya|42200|3.13694|101.374542|45700|3.309783|101.316481|1590
Selangor/KL/Putrajaya|42200|3.13694|101.374542|45800|3.26099|101.304808|1146
Selangor/KL/Putrajaya|42200|3.13694|101.374542|46000|3.086439|101.649091|2437
Selangor/KL/Putrajaya|42200|3.13694|101.374542|46150|3.072257555|101.62387631|2818
Selangor/KL/Putrajaya|42200|3.13694|101.374542|46300|3.110464412|101.6263315|2592
Selangor/KL/Putrajaya|42200|3.13694|101.374542|47000|3.209228|101.563796|2846
Selangor/KL/Putrajaya|42200|3.13694|101.374542|47100|3.00725|101.60488|2719
Selangor/KL/Putrajaya|42200|3.13694|101.374542|47200|3.05807611|101.59866162|2324
Selangor/KL/Putrajaya|42200|3.13694|101.374542|48000|3.320579|101.575825|3197
Selangor/KL/Putrajaya|42200|3.13694|101.374542|48100|3.318829|101.472824|2597
Selangor/KL/Putrajaya|42200|3.13694|101.374542|48200|3.36499321|101.60397874|3626
Selangor/KL/Putrajaya|42200|3.13694|101.374542|50000|3.143717|101.694244|2795
Selangor/KL/Putrajaya|42200|3.13694|101.374542|53100|3.26023787|101.7333987|3635
Selangor/KL/Putrajaya|42200|3.13694|101.374542|62000|2.93723|101.69482|3505
Selangor/KL/Putrajaya|42200|3.13694|101.374542|63000|2.858811|101.677911|3394
Selangor/KL/Putrajaya|42200|3.13694|101.374542|64000|2.75421|101.70507|3624
Selangor/KL/Putrajaya|42200|3.13694|101.374542|68000|3.14687|101.76269|3441
Selangor/KL/Putrajaya|42200|3.13694|101.374542|68100|3.236517|101.673419|3288
Selangor/KL/Putrajaya|42300|3.071723|101.454247|42500|2.910571|101.468592|2115
Selangor/KL/Putrajaya|42300|3.071723|101.454247|42600|2.87567778|101.49953858|2590
Selangor/KL/Putrajaya|42300|3.071723|101.454247|42700|2.811255|101.499568|3077
Selangor/KL/Putrajaya|42300|3.071723|101.454247|42800|2.662653|101.557797|4907
Selangor/KL/Putrajaya|42300|3.071723|101.454247|42920|2.93707|101.325659|2112
Selangor/KL/Putrajaya|42300|3.071723|101.454247|42940|3.020418|101.253784|inf
Selangor/KL/Putrajaya|42300|3.071723|101.454247|42960|2.85004716|101.37569652|2926
Selangor/KL/Putrajaya|42300|3.071723|101.454247|43000|2.99319|101.787|2752
Selangor/KL/Putrajaya|42300|3.071723|101.454247|43100|3.10037869|101.80299706|2777
Selangor/KL/Putrajaya|42300|3.071723|101.454247|43200|3.048914445|101.7688979|2460
Selangor/KL/Putrajaya|42300|3.071723|101.454247|43300|3.0221|101.70547|2382
Selangor/KL/Putrajaya|42300|3.071723|101.454247|43400|2.99259052499155|101.7048806187|2396
Selangor/KL/Putrajaya|42300|3.071723|101.454247|43500|2.947598|101.844711|3322
Selangor/KL/Putrajaya|42300|3.071723|101.454247|43600|2.94331538|101.76357543|2778
Selangor/KL/Putrajaya|42300|3.071723|101.454247|43700|2.86881012|101.86989746|3698
Selangor/KL/Putrajaya|42300|3.071723|101.454247|43900|2.690242|101.751039|5183
Selangor/KL/Putrajaya|42300|3.071723|101.454247|43950|2.643865|101.718497|5680
Selangor/KL/Putrajaya|42300|3.071723|101.454247|44000|3.562871|101.658865|4400
Selangor/KL/Putrajaya|42300|3.071723|101.454247|44200|3.496655|101.633051|3729
Selangor/KL/Putrajaya|42300|3.071723|101.454247|44300|3.4638771|101.65633089|4081
Selangor/KL/Putrajaya|42300|3.071723|101.454247|45000|3.342043|101.248981|2926
Selangor/KL/Putrajaya|42300|3.071723|101.454247|45100|3.842558|100.895663|7178
Selangor/KL/Putrajaya|42300|3.071723|101.454247|45200|3.769493|100.983632|6403
Selangor/KL/Putrajaya|42300|3.071723|101.454247|45300|3.676208|100.986402|5685
Selangor/KL/Putrajaya|42300|3.071723|101.454247|45400|3.508705|101.103137|4591
Selangor/KL/Putrajaya|42300|3.071723|101.454247|45500|3.426269|101.176976|3867
Selangor/KL/Putrajaya|42300|3.071723|101.454247|45600|3.379264|101.409819|3117
Selangor/KL/Putrajaya|42300|3.071723|101.454247|45700|3.309783|101.316481|2628
Selangor/KL/Putrajaya|42300|3.071723|101.454247|45800|3.26099|101.304808|2184
Selangor/KL/Putrajaya|42300|3.071723|101.454247|46000|3.086439|101.649091|1377
Selangor/KL/Putrajaya|42300|3.071723|101.454247|46150|3.072257555|101.62387631|1758
Selangor/KL/Putrajaya|42300|3.071723|101.454247|46300|3.110464412|101.6263315|1532
Selangor/KL/Putrajaya|42300|3.071723|101.454247|47000|3.209228|101.563796|1670
Selangor/KL/Putrajaya|42300|3.071723|101.454247|47100|3.00725|101.60488|1659
Selangor/KL/Putrajaya|42300|3.071723|101.454247|47200|3.05807611|101.59866162|1264
Selangor/KL/Putrajaya|42300|3.071723|101.454247|48000|3.320579|101.575825|2326
Selangor/KL/Putrajaya|42300|3.071723|101.454247|48100|3.318829|101.472824|2653
Selangor/KL/Putrajaya|42300|3.071723|101.454247|48200|3.36499321|101.60397874|3022
Selangor/KL/Putrajaya|42300|3.071723|101.454247|50000|3.143717|101.694244|1736
Selangor/KL/Putrajaya|42300|3.071723|101.454247|53100|3.26023787|101.7333987|2575
Selangor/KL/Putrajaya|42300|3.071723|101.454247|62000|2.93723|101.69482|2445
Selangor/KL/Putrajaya|42300|3.071723|101.454247|63000|2.858811|101.677911|2334
Selangor/KL/Putrajaya|42300|3.071723|101.454247|64000|2.75421|101.70507|2564
Selangor/KL/Putrajaya|42300|3.071723|101.454247|68000|3.14687|101.76269|2381
Selangor/KL/Putrajaya|42300|3.071723|101.454247|68100|3.236517|101.673419|2229
Selangor/KL/Putrajaya|42500|2.910571|101.468592|42600|2.87567778|101.49953858|829
Selangor/KL/Putrajaya|42500|2.910571|101.468592|42700|2.811255|101.499568|1534
Selangor/KL/Putrajaya|42500|2.910571|101.468592|42800|2.662653|101.557797|3146
Selangor/KL/Putrajaya|42500|2.910571|101.468592|42920|2.93707|101.325659|1981
Selangor/KL/Putrajaya|42500|2.910571|101.468592|42940|3.020418|101.253784|inf
Selangor/KL/Putrajaya|42500|2.910571|101.468592|42960|2.85004716|101.37569652|1165
Selangor/KL/Putrajaya|42500|2.910571|101.468592|43000|2.99319|101.787|2585
Selangor/KL/Putrajaya|42500|2.910571|101.468592|43100|3.10037869|101.80299706|3449
Selangor/KL/Putrajaya|42500|2.910571|101.468592|43200|3.048914445|101.7688979|2818
Selangor/KL/Putrajaya|42500|2.910571|101.468592|43300|3.0221|101.70547|2460
Selangor/KL/Putrajaya|42500|2.910571|101.468592|43400|2.99259052499155|101.7048806187|2061
Selangor/KL/Putrajaya|42500|2.910571|101.468592|43500|2.947598|101.844711|3138
